Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,PRODUCTS LIST,,,
,,,,
,,,,
,E CODE,PRODUCT NAME,SIZE,REF IMG
,1922,"PLASTIC VASE CONICAL BAG CLEAR  24"" TALL PK 100",UNID,
,1924,RAFFIA NATURAL PACK 25LBS PER CASE,POUN,
,1939,ORGANZA CRUSH PURPLE,UNID,
,1943,XMAS ORNAMENT 3 BALLS GOLD  REF 9-044/1XGS,UNID,
,1946,PUMKIN PARTY SHEET,UNID,
,1957,PILLAR CANDLE 2 X 6 RED PK 12,UNID,
,1958,INSERT CORNUCOPIA SM/MED  KF 9X2X13 8/16,UNID,
,1959,CURLY WILLOW  NATURAL PK 144,UNID,
,1976,ORGANZA DARK GOLD,UNID,
,1985,PUMKIN PARTY SHEET,UNID,
,2006,FTD FINE WRAP ROSES GOLD W/OUT HOLE BOX LINER,UNID,
,2043,"10"" URN VASE CLEAR PK 6",UNID,
,2044,"10"" URN VASE GREEN PK  6",UNID,
,2051,"FTD 8"" GATHERING W VASE CLR #4110-09-09 - VA4110",UNID,
,2070,"NON WOVEN DUO ROUND 20""  GREEN",UNID,
,2072,"NON WOVEN DUO ROUND 20"" LAVANDER",UNID,
,2073,EUROPEAN BOX GREEN W/ RIBBON,UNID,
,2079,ORGANZA CRUSH METTALIC GOLD,UNID,
,2131,"ALLEGRO SILVER 13""",UNID,
,2142,PLASTIC  ZIPLOCK BAG 12 X 12,UNID,
,2157,ORGANZA BLUE,UNID,
,2166,"PLASTIC BAG CONICAL 24"" W/ LIGHT PINK HANDLE",UNID,
,2168,"PLASTIC BAG CONICAL 24"" W/LIGHT GREEN HANDLE",UNID,
,2183,"7"" SWEETHEART PLAST VASE REF 20-24-246 ASST CL",UNID,
,2204,NONWOVEN FLW BAG W/ HANDLE NATURAL 16X16,UNID,
,2208,EUROPEAN BOX BLACK W/RIBBON,UNID,
,2209,EUROPEAN BOX SILVER W/RIBBON,UNID,
,2210,EUROPEAN BOX BLUE W/RIBBON,UNID,
,2211,EUROPEAN BOX PINK W/ RIBBON,UNID,
,2212,"PLASTIC BAG CONICAL 24"" W/ YELLOW HANDLE",UNID,
,2213,"PLASTIC BAG CONICAL 24"" W/ SILVER HANDLE",UNID,
,2214,"PLASTIC BAG CONICAL 24"" W/ ORANGE HANDLE",UNID,
,2216,WM BUCKETS 5LT CONICAL / VASE PK 6250/6210,UNID,
,2221,"CENTERPIECE TRAY 6"" BOWL GREEN REF 73-48-07",UNID,
,2222,"TAPER CANDLE BULK 12"" YELLOW PK 144",UNID,
,2223,"TAPER CANDLE BULK 12"" PINK PK 144",UNID,
,2235,"TWISTER TIE WHITE  18""",UNID,
,2241,5 GR FLOWER FOOD FLORALIFE PK 2000,UNID,
,2244,"8"" GENIE VASE BQT RED PK 24",UNID,
,2246,"8"" GENIA VASE BQT CLEAR PK 24",UNID,
,2257,"HEAVY DUTY TAPE DISPENSER 3""",UNID,
,2262,ORGANZA MERCURY SILVER/ SILVER  SHEET,UNID,
,2265,NON WOVEN FLW BAG W/ HANDLE LAVENDER 16X16,UNID,
,2266,NON WOVEN FLW BAG W/ HANDLE HOT PINK 16X16,UNID,
,2270,FOILED SWIRL SILVER ON PINK,UNID,
,2272,"NON WOVEN DUO ROUND 20"" CREAM",UNID,
,2294,"10"" URN VASE PURPLE PK 6",UNID,
,2295,"10"" URN VASE LIGHT PINK PK 6",UNID,
,2296,"10"" URN VASE RED PK 6",UNID,
,2297,"10"" URN VASE YELLOW PK 6",UNID,
,2298,DISPLAY 1 HOLE WHITE CAP FOR K BOX  PK 1540,UNID,
,2308,4*3 LABEL THERMAL TRANSFER RED  E/2000 PK 4,ROLL,
,2309,4*3 LABEL THERMAL TRANSFER LAVANDER E/2000 PK4,ROLL,
,2325,CHRYSAL CLEANER BUCKETS & OTHERS PK 9,UNID,
,2328,"TOP SIGN HOLDER 13/16"" REF 87070824101-C",UNID,
